word,is_he
,0
והודא,0
שלשמס,0
ואצ'חה,0
פגפל,0
קלילא,0
חתי,0
פרג',0
רבנא,0
כטרפה,0
עין,0
כמא,0
קאל,0
ישועתו,1
כהרף,1
עין,1
פכתר,0
פרח,0
אלקאיד,0
למא,0
ירג'וה,0
מן,0
אכד,0
אלמאל,0
פמצ'י,0
ודכל,0
אלחמאם,0
ליצ'יע,0
בקיה,0
נהארה,0
ונקדימון,1
בן,1
גריון,1
מצ'י,0
אלי,0
בית,1
המקדש,1
וקאם,0
ודעא,0
אלי,0
רבה,0
(70,1
"ע""ב)",1
ותצ'רע,0
בין,0
ידיה,0
וקאל,0
יא,0
רב,0
אלעאלמין,0
לם,0
יכפא,0
ען,0
קדרתך,0
אן,0
ליס,0
לכראמתי,0
לא,0
לנפסי,0
אכדת,0
הדא,0
אלמא,0
אלא,0
לאמתך,0
בני,0
אסראיל,0
אלדין,0
קד,0
אצעדו,0
אלי,0
ההנא,0
רגבה,0
פי,0
רחמתך,0
ואחסאנך,0
וכשית,0
יהלכו,0
באלעטש,0
פצעדו,0
ליטלבו,0
מתובה,0
פצעדת,0
ללוקת,0
גיום,0
והטלת,0
אלאמטאר,0
פלם,0
יכרג',0
דלך,0
אלקאיד,0
מן,0
אלחמאם,0
חתי,0
תגטת,0
אתני,0
עשר,0
דרגה,0
מא,0
ופצ'ל,0
עליהם,0
פפי,0
כרוג'ה,0
מן,0
אלחמאם,0
לקיה,0
נקדימון,1
בן,1
גריון,1
והו,0
קד,0
כרג',0
מן,0
אלקדס,0
קאל,0
לה,0
מא,0
אשך,0
אן,0
אללה,0
לם,0
יחדת,0
הדה,0
אלאחואל,0
פי,0
עאלמה,0
פי,0
הדה,0
אלמדה,0
אליסירה,0
אלא,0
מן,0
ג'התך,0
(71,1
"ע""א)",1
לכן,0
בקי,0
עליך,0
אן,0
תשרק,0
אלשמס,0
חתי,0
יצה,0
נזול,0
אלמטר,0
פי,0
יומך,0
או,0
ילזמך,0
וזן,0
אלפצ'ה,0
אד,0
דלך,0
אתפאק,0
פרג'ע,0
אלי,0
אלקדס,0
ודעא,0
אלי,0
אללה,0
סבחאנה,0
ותעלי,0
וקאל,0
יא,0
רב,0
אלעאלמין,0
כמא,0
לם,0
כייבתני,0
פי,0
אלאול,0
לא,0
תכייבני,0
פי,0
אלאכיר,0
פאנכשפת,0
אלגיום,0
ושרקת,0
אלשמס,0
פלדלך,0
סמי,0
נקדימון,1
בן,1
גריון.,1
ואלתאני,0
פהו,0
ציצית,1
הכסת,1
וקד,0
קיל,0
פי,0
אשתקאקין,0
ואחד,0
מנהמא,0
אן,0
אלציצית,0
אלתי,0
לה,0
מג'רורה,0
עלי,0
כראסי,0
יעני,0
אנה,0
כאן,0
יג'לס,0
עלי,0
כראסי,0
ואלתאני,0
אן,0
כאן,0
כרסיה,0
מוצ'ועא,0
פי,0
וסט,0
אג'לא,0
אלרומא,0
ואכאברהם.,0
