word,is_he
ת'ם,0
קלת,0
אן,0
קנום,0
אלאבן,0
נזל,0
מן,0
אלסמא,0
אלי,0
מרים,1
אלעד'רי.,0
הל,0
נזל,0
מעה,0
אלאב,0
ורוח,0
"אלקדס,",0
או,0
אלאבן,0
וחדה,0
נזל?,0
ואן,0
אלתחם,0
מן,0
"מרים,",1
הל,0
אלתחם,0
מעה,0
אלאב,0
ורו[ח,0
אלקדס],0
או,0
וחדה?,0
פאן,0
קלת:,0
ג'מיעא,0
"אלתחמו,",0
פקד,0
[נקצ'ת],0
כלאמך,0
אלאול,0
אלד'י,0
זעמת,0
באן,0
אלכיאנין,0
קנום,0
"ו[אחד],",0
כיאן,0
אללאהות,0
וכיאן,0
"אלנאסות,",0
פכאן,0
אד'ן,0
אלמסיח,0
כיאנין,0
מן,0
"קנומין,",0
ולם,0
יכון,0
פי[ה],0
מן,0
קנום,0
אלאב,0
שי.,0
ואן,0
קלת,0
אן,0
אלאבן,0
נזל,0
"וחדה,",0
פקד,0
חצלו,0
מכ'תלפין.,0
