word,is_he
ולא,0
בד,0
ללת'נויהֿ,0
מן,0
אחד,0
הד'ה,0
אלאוגה,0
אלתי,0
נחן,0
ד'אכרוהא,0
אמא,0
אן,0
יזעמו,0
אן,0
אלכונין,0
לם,0
יזלא,0
מתחרכין,0
ת'ם,0
סכנא,0
כמא,0
לם,0
יזלא,0
מתבאינין,0
ת'ם,0
אמתזגא,0
<ואמא>,0
אן,0
יקולון,0
לם,0
יזלא,0
סאכנין,0
ת'ם,0
תחרכא,0
כמא,0
לם,0
יזלא,0
מתבאינין,0
ת'ם,0
אמתזגא,0
<ואמא>,0
אן,0
יזעמו,0
אנהמא,0
לם,0
יזלא,0
יתחרכאן,0
ויסכנאן,0
ת'ם,0
יתחרכאן,0
לא,0
אול,0
לד'לך,0
פיעלם,0
ולא,0
אבתדא,0
לה,0
ואמא,0
אן,0
יזעמו,0
אנהמא,0
קד,0
כאנא,0
ולא,0
חרכהֿ,0
ולא,0
סכון,0
פאן,0
ד'לך,0
מא,0
קאלו,0
דכ'ל,0
עליהם,0
מא,0
קד,0
ד'כרנאה,0
אניפא,0
ואכת'ר.,0
