word,is_he
פאן,0
קאל,0
קאיל,0
מן,0
אין,0
אסתחאל,0
אן,0
יכון,0
אלשי,0
יחדת',0
נפסה,0
קלנא,0
אנה,0
לא,0
יכ'לו,0
פי,0
וקת,0
מא,0
חדת',0
אן,0
כאן,0
הו,0
אחדת',0
נפסה,0
מן,0
אחד,0
וגהין,0
אמא,0
אן,0
יכון,0
אחדת'הא,0
והו,0
מוגוד,0
ואמא,0
אן,0
יכון,0
אחדת'הא,0
וליס,0
במוגוד,0
פאן,0
כאן,0
אחדת'הא,0
והו,0
מוגוד,0
פקד,0
כאן,0
מוגודא,0
קבל,0
אן,0
יחדת',0
ד'אתה,0
והד'א,0
יוגב,0
אן,0
יכון,0
אלכתאב,0
כאן,0
מכתובא,0
קבל,0
אן,0
כתב,0
נפסה,0
ואלבנא,0
כאן,0
מבניא,0
קבל,0
אן,0
בנא,0
נפסה.,0
ואן,0
אחדת'הא,0
והו,0
מעדום,0
פאלעדם,0
לא,0
יפעל,0
אלוגוד,0
פקד,0
[אסת]חאל,0
אן,0
יכון,0
אלשי,0
יחדת',0
ד'אתה,0
ויכון,0
ד'אתה,0
פק[ד,0
ת'בת],0
אן,0
מחדת'ה,0
ג'ירה,0
כוונה,0
סואה.,0
