word,is_he
פצל,0
"י""ג",1
הודא,0
אשרח,0
מן,0
גרץ',0
אלכתאב,0
חדית,0
ישאכל,0
הדא,0
אלמעני,0
מן,0
חסן,0
אמראה,0
מן,0
בנאת,0
אלמיאסיר,0
ואלאג'לא,0
ורגבתהא,0
ורגבה,0
אביהא,0
(55,1
"ע""ב)",1
פיתזויג'הא,0
למן,0
פיה,0
עלם.,0
אעלם,0
אן,0
קד,0
נקל,0
אלסלף,0
אלצאדק,0
אן,0
רג'לא,0
מן,0
מיאסיר,0
אלשאם,0
יסמא,0
בן,1
כלבא,1
שבוע,1
ואשתק,0
הדא,0
אלאסם,0
לה,0
מן,0
פצ'לה,0
ודלך,0
אנה,0
מן,0
דכל,0
אליה,0
גאיע,0
ולו,0
כלב,0
כרג',0
שבעאן,0
מן,0
ענדה,0
וכאן,0
לה,0
ר',1
עקיבה,1
אגירא,0
ירעא,0
גנמה,0
וכאן,0
לאבן,0
כלבא,1
שבוע,1
הדה,0
אלאבנה,0
חסנה,0
אלמנט'ר,0
ג'מילה,0
אלחליה,0
פג'את,0
אלי,0
ר',1
עקיבה,1
וקאלת,0
לה,0
תתזוג',0
בי,0
קאל,0
להא,0
נעם,0
פאמלכהא,0
כמא,0
יג'ב,0
ואנצרפת,0
ענה,0
פלמא,0
סמע,0
אביהא,0
אלכבר,0
אקסם,0
עיל,0
נפאלכבר,0
אקסם,0
עלי,0
נפסה,0
אנה,0
לא,0
יעטיהא,0
מן,0
מאלה,0
שיא,0
אד,0
כאן,0
קד,0
רצ'ית,0
לנפסהא,0
במן,0
לא,0
יליק,0
(56,1
"ע""א)",1
בהא,0
ולם,0
יכן,0
ענד,0
ר',1
עקיבא,1
שיא,0
סוא,0
קליל,0
תבן,0
פרשה,0
תחתהמא,0
ונאמא,0
עליה,0
ותוסדא,0
מנה,0
וקאל,0
להא,0
יג'ב,0
אן,0
תקנעו,0
בהדא,0
פלו,0
כאן,0
לי,0
שיא,0
לעמלת,0
לך,0
מן,0
דהב,0
פבין,0
מאהמא,0
ניאם,0
קרע,0
שכץ,0
אלבאב,0
עליהמא,0
וקאל,0
יא,0
סידי,0
לי,0
זלי,0
זוג'ה,0
קד,0
קרב,0
ולאדתהא,0
וליס,0
להא,0
שיא,0
תלד,0
עליה,0
פלעל,0
לכם,0
שי,0
קאל,0
מא,0
לנא,0
קליל,0
תבן,0
קאל,0
פאעטוני,0
מנה,0
פאעטוה,0
מנה,0
פקאל,0
לזוג'תה,0
נחן,0
אכיר,0
מן,0
גירנא,0
הודא,0
הדא,0
לם,0
יכן,0
לה,0
ולא,0
תבן,0
וקד,0
יקאל,0
אן,0
דלך,0
אליהו,1
"ע""ה",1
פקאלת,0
לה,0
בעד,0
מדה,0
אן,0
קבלת,0
מני,0
מא,0
אשיר,0
בה,0
עליך,0
פאמצ'י,0
[פקבל,0
מנהא,0
ומצי,0
ואקאם],0
ותעלם,0
אלעלם,0
בין,0
ידי,0
רבי,1
(56,1
"ע""ב)",1
אליעזר,1
ור',1
יהושע,1
אתני,0
עשר,0
סנה,0
פענד,0
כמלהא,0
ג'א,0
אלי,0
ביתה,0
ומעה,0
אתני,0
עשר,0
אלפא,0
תלמיד,1
פחית,0
ג'א,0
סמע,0
שכץ,0
יקול,0
לזוג'תה,0
קד,0
סררת,0
במא,0
עמל,0
בך,0
אבוך,0
לאנך,0
תזוג'ת,0
במן,0
לא,0
יליק,0
בך,0
ואיצ'א,0
לאנה,0
מצ'י,0
ותרכך,0
אתני,0
עשר,0
סנה,0
ארמלה,0
אלחיוה,0
קאלת,0
לה,0
כאנת,0
שהותי,0
אקאמתה,0
אתני,0
עשר,0
סנה,0
אכרה,0
פלמא,0
סמע,0
דלך,0
מנהא,0
ר',1
עקיבא,1
"ז""ל",1
אד,0
דלך,0
מן,0
שהותהא,0
פליס,0
עליי,0
מנהא,0
אתם,0
פרג'ע,0
אלי,0
מוצ'עה,0
ואקאם,0
אתני,0
עשר,0
איצ'א,0
אכרי,0
ואתי,0
אלי,0
ביתה,0
ומעה,0
ג'מלה,0
מן,0
אלתלאמיד,0
פסמע,0
כברה,0
פכרג'ו,0
אהל,0
אלמדינה,0
יתלקוה,0
פדכל,0
(57,1
"ע""א)",1
בעז,0
עט'ים,0
פאראדת,0
זוג'תה,0
תכרג',0
אליה,0
פלם,0
יכן,0
להא,0
סוי,0
תוב,0
כלק,0
פקאלת,0
להא,0
בעץ',0
גיראנהא,0
כדי,0
תוב,0
חסן,0
ולא,0
תכרג'י,0
אליה,0
בהדה,0
אלכלק,0
קאלת,0
יודע,1
צדיק,1
דין,1
דלים,1
משפט,1
אביונים.,1
תעני,0
אנה,0
הו,0
יעלם,0
אן,0
ליס,0
לי,0
שי,0
פכרג'ת,0
אליה,0
אלחקתה,0
וכלפה,0
תלאמידה,0
פאנכבת,0
תקבל,0
רג'לאה,0
פאראד,0
בעץ',0
תלאמידה,0
אזאלתהא,0
ענה,0
קאל,0
לה,0
דעהא,0
פאן,0
ג'מיע,0
מא,0
תעלמתה,0
מן,0
אלעלם,0
ותעלמתמוה,0
אנתם,0
מני,0
הדה,0
אלאמראה,0
כאנת,0
פי,0
אלסבב,0
ואלאצל,0
פיה,0
פסמע,0
אבוהא,0
בן,1
כלבא,1
שבוע,1
אן,0
רג'לא,0
ג'ליל,0
עאלמא,0
קד,0
וצל,0
אלי,0
אלמדינה,0
קאל,0
אמץ',0
