word,is_he
עפים,1
מרחוק,1
[…],1
[…],1
דרכי,1
"עוה,",1
ועולל,1
במסלה,1
"ושוה,",1
[……],1
[דורש],1
טוב,1
"לעמו,",1
עצה,1
וגבורה,1
"עמו,",1
[……],1
לו,1
מבין,1
[…],1
[…],1
"ניה,",1
ואויביו,1
יושתו,1
לשאיה,1
תאניה,1
"[ואניה,",1
אשר,1
יתן],1
פריו,1
"בעתו,",1
ותשב,1
באיתן,1
"קשתו,",1
כי,1
בראותו,1
ילדיו,1
[מחזיקים,1
"דתו,",1
הוא],1
יקירנו,1
ברורנו,1
השר,1
הנדיב,1
מ',1
ור',1
אבו,0
אלצד,0
(?),0
שר,1
הקהל,1
בחיר,1
[העדה,1
פקיד,1
הי]שיבה,1
[יפרה,1
יש]עו,1
ישריש,1
גזעו,1
וישגשג,1
נטעו,1
וירבה,1
כחול,1
זרעו,1
השר,1
היק[ר],1
[…],1
[…],1
שמר,1
והגיע,1
הו[…],1
הפרחים,1
"המשובחים,",1
האחים,1
"האזרחים,",1
הברים,1
"כבדולח[י]ם,",1
היקרים,1
"כאקדחים,",1
ובין,1
מאהלותיהם,1
"מפריחים,",1
כשושנה,1
בין,1
"החוחים,",1
ועל,1
מעין,1
התבונה,1
"קחים,",1
ועל,1
מבועי,1
המזמה,1
שוקטים,1
"ונחים,",1
[במשכנות,1
מבטחי]ם,1
ובנוה,1
שלום,1
"תשובבם,",1
ולדעת,1
חקיו,1
"ינובבם,",1
ומצרה,1
וצוקה,1
תחובבם,1
[…],1
כי,1
[צור],1
משגבו,1
[…],1
[…],1
"בלבו,",1
ולא,1
ישיב,1
מעליו,1
"חרבו,",1
כי,1
קרב,1
כתנור,1
ל[בו,1
"בארבו],",1
לטמון,1
עונו,1
"בחוב[ו],",1
[שחרו,1
"ו]ערבו,",1
בהתחזקו,1
בכסא,1
הישעה,1
תורת,1
יוי',1
"בקרבו,",1
להרים,1
לו,1
מכל,1
"חל[בו],",1
[ויקבל,1
תפ]לתו,1
"וניבו,",1
במקום,1
דם,1
זבחו,1
וחלבו,1
[…],1
[…],1
ושעירו,1
"וכשבו,",1
ורצון,1
שוכני,1
[סנה,1
