word,is_he
שאילה,1
לבית,1
דין,1
הגדול,1
לכ[בוד,1
מא,0
יקו]ל,0
אדוננו,1
דניאל,1
הנשיא,1
והגאון,1
יחי,1
לעד,1
פי,0
ראובן,1
מצרי,1
[יכו]ן,0
לראובן,1
אלתלתי,0
ולשמעון,1
אלתלת,0
וכתב,0
עליה,0
בדלך,0
שטר,1
מוחזק,1
מקוים,1
[…],1
החותמים,1
עדותם,1
מטה,1
בשטר,1
הזה,1
כן,1
היה,1
בא,1
לפנינו,1
משה,1
בר,1
[יהודה,1
החזן,1
המערבי,1
וכן,1
אמר,1
לפנינו,1
היו,1
עלי,1
עדים,1
וקנו,1
ממני,1
מעכשיו,1
וכתבו,1
וחתמו,1
עלי,1
בכל,1
לשון,1
של,1
זכות,1
ותנו,1
לו,1
לחסן,1
הכהן,1
בר,1
סלמאן,1
הסרסור,1
שאני,1
מודה,1
בפניכם,1
ואני],1
לא,1
אנוס,1
ולא,1
מוכרח,1
ולא,1
מפותה,1
ולא,1
שוגה,1
ולא,1
טועה,1
ולא,1
שולה,1
ולא,1
חולה,1
[אלא,1
בלב,1
שלם,1
ובנפש,1
חפיצה,1
ובדעת,1
שלימה,1
ובהודיי]ה,1
גמורה,1
לדעתי,1
ולא,1
לפי,1
דעת,1
אחרים,1
שנטלתי,1
וקיבלתי,1
ולקחתי,1
ונשתלמתי,1
מידי,1
[חסן,1
הכהן,1
בר,1
סלמאן],1
הסרסור,1
סחורות,1
לכמה,1
אנפי,1
מכללן,1
[מאיה,0
תמניה,0
וסתין],0
דינר,0
ונצף,0
ותמן,0
שרחהא,0
מאיה,0
מנא,0
כיאר,0
שנבר,0
אלתמן,0
סתה,0
דנאניר,0
ורבע,0
ועדל,0
ניל,0
ת[מנה],0
ותמנין,0
רטלא,0
פלפלי,0
אלתמן,0
כמסה,0
ותלתין,0
דינר,0
ונצ[ף]ק,0
אלוזן,0
מאתין,0
רטל,0
פלפלי,0
אלתמן,0
אחדי,0
עשר,0
דינר,0
ותלת,0
ורבע,0
תלתה,0
אמנא,0
ורבע,0
טבאשיר,0
פי,0
עלבה,0
אלתמן,0
תמניה,0
דנאניר,0
עדל,0
קצט,0
חלו,0
אלתמן,0
ארבעה,0
עשר,0
דינר,0
ותלת,0
עשרה,0
[אמנאה],0
לילג,0
אלתמן,0
ארבעה,0
דנאניר,0
גיר,0
רבע,0
קפה,0
ורס,0
וזנהא,0
נצף,0
ורבע,0
קנטאר,0
ועשרה,0
ארטאל,0
אלתמן,0
כמסה,0
דנאניר,0
קטעה,0
קרפה,0
אלתמן,0
ארבעה,0
דנאניר,0
קטעה,0
קרשיה,0
אלתמן,0
תלתה,0
דנאניר,0
ונצף,0
רבע,0
קנטאר,0
הלילג,0
אצפר,0
אלתמן,0
דינר,0
ורבע,0
מזוד,0
מר,0
אלוזן,0
תסעה,0
ותלתין,0
מנא,0
אלתמן,0
תמניה,0
דנאניר,0
קטעה,0
האל,0
אלוזן,0
מאיה,0
תסעה,0
ותלתין,0
רטל,0
[…],0
[אלטרף]?,0
אלתמן,0
עשרין,0
דינר,0
ורבע,0
קטעה,0
צבר,0
אלוזן,0
