word,is_he
ואלקולין,0
ע[נדי,0
קולין],0
מתקארבין,0
וליס,0
בינהמא,0
אכ'תלאף,0
כת'יר,0
לאן,0
אלד'י,0
את'בת,0
אן,0
ת'אלת',0
מבאח,0
אחתג,0
אן,0
אלנפס,0
להא,0
צ'גראת,0
תחתאג,0
פיהא,0
אלי,0
אן,0
תכון,0
מטלקהֿ,0
מכ'לאהֿ,0
ען,0
אלתשאג'ל,0
באלאמר,0
ואלנהי,0
פתסתריח,0
ויגדד,0
להא,0
ד'לך,0
אלנשאט,0
מן,0
אלראס,0
אלי,0
תכראר,0
אלפעל,0
אלד'י,0
הו,0
טאעהֿ.,0
ואלאכ'ר,0
אלד'י,0
לם,0
ית'בת,0
להא,0
ת'אלת',0
אראד,0
אלא,0
יכ'ליהא,0
אלחכים,0
אלתבחבח,0
פי,0
אלשהואת,0
ואלתג'לב,0
פי,0
אלבטאלאת.,0
פאן,0
מן,0
שאן,0
אלנפס,0
אן,0
תחב,0
אלבטאלהֿ,0
ותסתת'קל,0
אלאשג'אל,0
אלתי,0
תומר,0
בהא,0
לצעובהֿ,0
אלאמר,0
ואלנהי,0
עליהא,0
פאד'א,0
וגדת,0
אבאחהֿ,0
או,0
תכ'ליהֿ,0
או,0
אד'נא,0
רכ'צא,0
מאלת,0
במרהֿ,0
אלי,0
שהואתהא,0
פאלפתהא,0
פעסר,0
חיניד',0
פטאמהא,0
ענהא,0
כמא,0
יעסר,0
פטאם,0
אלטפל,0
מן,0
אללבן.,0
