word,is_he
פנקול,0
אן,0
אללמיהֿ,0
אלא,0
קול,0
אלקאיל,0
לם,0
כאן,0
הד'א,0
סואל,0
עלם,0
כון,0
אלכיאן,0
וסב[ב],0
אלמסבב.,0
פאן,0
קאל,0
קאיל,0
לם,0
כאן,0
אללה,0
אלאהנא,0
קלנא,0
לאן,0
מאלוה,0
מוגודא,0
או,0
לאנה,0
אוגד,0
מאלוהא,0
פאן,0
קאל,0
לם,0
כאן,0
אלאהא,0
לאן,0
אוגד,0
מאלוהא,0
<קלנא>,0
אחלת,0
פי,0
סואלך,0
הד'א,0
פאן,0
קאל,0
מן,0
אין,0
אחלת,0
<קלנא>,0
מן,0
קבל,0
אנך,0
[ק]לת,0
לם,0
לאן,0
ולם,0
הו,0
סואל,0
ולאן,0
הו,0
אחק,0
באלעלהֿ,0
אלתי,0
הו,0
לם,0
פכאנך,0
אנמא,0
קלת,0
לם,0
כאנת,0
אלעלהֿ,0
עלהֿ,0
אלמעלול,0
ולם,0
כאן,0
אלמעלול,0
מעלולא,0
לאלעלהֿ,0
ולם,0
כאן,0
אלסבב,0
סבבא,0
למסבב,0
והד'א,0
אלסואל,0
פאסד,0
וד'לך,0
אן,0
אללה,0
ואלמאלוה,0
ואלעלהֿ,0
ואלמעלול,0
אשיא,0
תצ'אף,0
אלי,0
בעצ'הא,0
בעץ',0
ואלאשיא,0
אלמצ'אפהֿ,0
תתעטף,0
בעצ'הא,0
אלי,0
בעץ',0
ותרגע,0
בעצ'הא,0
אלי,0
בעץ'.,0
