word,is_he
מרובה,1
"בבגדים,",1
הו,0
אלד'י,0
לם,0
ימשח,1
בשמן,1
המשחה,1
לכנה,0
לבש,1
שמונה,1
"בגדים,",1
ובלבאסהא,0
נתרבה,1
על,1
שאר,1
"הכהנים,",1
לאנהא,0
איצ'א,0
תקדמה,0
כמא,0
בין,0
וקאל,0
ומלא,1
את,1
ידו,1
ללבוש,1
את,1
"הבגדים,",1
וכד'לך,0
כאנוא,0
כהני,1
בית,1
שני,1
אלד'י,0
עדם,0
פיה,0
שמן,1
"המשחה,",1
וקד,0
ד'כרנא,0
הד'א,0
"מראת,",0
ועשירית,1
"האיפה,",1
הי,0
אלתי,0
ג'א,0
פיהא,0
אלנץ,0
זה,1
קרבן,1
אהרן,1
"ובניו,",1
והי,0
תתסמי,0
איצ'א,0
חבתי,1
כהן,1
גדול,1
לכונהא,0
תעמל,0
על,1
מחבת.,1
ואלד'י,0
יוג'ב,0
אן,0
יעבור,1
כהן,1
ממשיחותו,1
הו,0
אן,0
יארע,1
בו,1
"מום,",1
או,0
יקדם,0
לעבודת,1
יום,1
הכפורים,1
אד'א,0
אירע,1
פסול,1
בכהן,1
גדול,1
ביום,1
צום,1
"הכפורים,",1
ת'ם,0
יעבור,1
בעד,0
ד'לך,0
אלנהאר,0
כמא,0
ביאנה,0
פי,0
מוצ'עה.,0
