word,is_he
רשע,1
כגבה,1
אפו,1
וג',1
ר',1
ירמיה,1
מדופתי,1
אמ',1
אף,1
משכח,1
תלמודו,1
שנא',1
כי,1
כעס,1
בחיק,1
כסילים,1
ינוח.,1
רבה,1
בר,1
חנה,1
אומ',1
אף,1
(66,1
"ע""ב)",1
מוסיף,1
שפשות,1
שנא',1
וכסיל,1
יפרוש,1
אולת,1
ויגב,0
אן,0
יעלם,0
סיאתה,0
אכתר,0
מן,0
חסנאתה,0
לקו',0
רב,1
נחמן,1
בר,1
יצחק,1
אמ',1
בידוע,1
שעונותיו,1
מרובין,1
מזכיותיו,1
שנא',1
בעל,1
חמה,1
רב,1
פשע.,1
ואן,0
יכון,0
מע,0
ג'יצ'ה,0
דאך,0
כרק,0
תראבה,0
היניד,0
יכון,1
שוטה,1
איזה,1
הוא,1
שוטה,1
זה,1
המקריע,1
כסותו,1
בחמתו.,1
וקאל,0
פי,0
מוצ'ע,0
אכר,0
המשבר,1
כליו,1
בחמתו,1
ולו,0
כאן,0
ליס,0
פיה,0
מן,0
אלאדא,0
אלא,0
מא,0
ינאל,0
ג'סדה,0
מנה,0
לוגב,0
אלתצבר,0
מנה,0
פכיף,0
אנה,0
ידהב,0
באלעקל,0
ואלדין,0
ויצ'ייע,0
אלאגר,0
אעאד,0
אללה,0
אתקיאה,0
מן,0
מתל,0
דלך,0
וקד,0
נסל,0
פי,0
הדא,0
אלמוצ'ע,0
סואלא,0
ונקול,0
לם,0
כאנו,0
אג'לא,0
אלאולין,0
(67,1
"ע""א)",1
ואפאצלהם,0
ידכרון,0
באסמאיהם,0
ומן,0
כאן,0
דונהם,0
ליס,0
כאן,0
כדלך,0
בל,0
מנהם,0
מן,0
יסמי,0
רבן,1
ומנהם,0
מן,0
יסמי,0
רבי,1
ומנהם,0
מן,0
יסמי,0
רב,1
ומא,0
אלמעני,0
פי,0
כון,0
הדא,0
רב,1
והדא,0
רבי,1
ורבן,1
פנג'יב,0
פי,0
דלך,0
אן,0
קד,0
נקלוא,0
ען,0
אבאינא,0
"ז""ל",1
תלקינא,0
גדול,1
מרב,1
רבי,1
וגדול,1
מרבי,1
רבן,1
וגדול,1
מרבן,1
שמו,1
פאלאולין,0
והם,0
אלאג'לא,0
ואלצדור,0
מתל,0
שמעון,1
הצדיק,1
ואונטוגנוס,1
איש,1
שוכו,1
ושמעיה,1
ואבטליון,1
והלל,1
ושמאי,1
ומן,0
הו,0
מתלהם,0
פיהם,0
קיל,0
גדול,1
מרבן,1
שמו,1
בל,0
אנביא,0
ישעיהו,1
וחגי,1
וזכריהו,1
ומלאכי,1
ועזרא,1
וחתי,0
אלסיד,0
אלמניר,0
נדכרה,0
באסמה,0
בגיר,0
רב,1
ולא,1
רבי,1
ולא,1
רבן,1
ואנמא,0
(67,1
"ע""ב)",1
נקול,0
משה,1
רבינו,1
לנפתכר,0
בה,0
נחן,0
לאן,0
רבנו,1
משה,1
לאג'לאל,0
רבנו,1
דון,0
אסמאה,0
בל,0
לו,0
כאן,0
כדלך,0
כננא,0
נקול,0
רבנו,1
משה,1
והדא,0
אצל,0
יג'ב,0
אן,0
יחפט',0
ואמא,0
לם,0
כאן,0
אלבאקון,0
מכתלפין,0
מנהם,0
רבן,1
ורבי,1
פאקול,0
אן,0
רבן,1
יסמי,0
בה,0
מן,0
כאן,0
מן,0
אלנשיאים,0
והם,0
מן,0
נסל,0
הלל,1
אלדי,0
ינתסב,0
אלי,0
דויד,1
מן,0
אמה,0
ליס,0
מן,0
אביה,0
ולדלך,0
סמו,0
נשיאים,1
ולם,0
יכונו,0
ראשי,1
גליות,1
מתל,0
