word,is_he
פנקול,0
ונחן,0
נסל,0
מן,0
יקרא,0
כתאבנא,0
[ה]ד'א,0
[אן],0
יתקצא,0
פחץ,0
מא,0
נד'כר,0
וינצף,0
פי,0
אלחכם.,0
ס[אל]נאהם,0
פקלנא,0
[חד]ת'ונא,0
ען,0
ג',1
אקאנים,0
אלתי,0
זעמת[ם],0
אנהא,0
גוהרא,0
ואחדא,0
הי,0
ד'לך,0
אלגוהר,0
אלואחד,0
פקט,0
[ל]א,0
שי,0
אכ'ר,0
[ג'י]רה,0
אם,0
הי,0
הו,0
ושי,0
אכ'ר,0
ג'ירה.,0
פכאן,0
גואבהם,0
אנהא,0
הו,0
ו<ליס>,0
שי,0
אכ'ר,0
ג'ירה,0
פאלזמנאהם,0
אנהא,0
אד',0
כאנת,0
הי,0
הו,0
וליס,0
שיא,0
אכ'ר,0
ג'ירה,0
אחד,0
אמרין,0
אמא,0
אבטאל,0
כונהא,0
גוהר,0
ואחד,0
אן,0
כאנת,0
ג',1
אקאנים,0
או,0
אבטאל,0
כונהא,0
ג',1
אקאנים,0
אן,0
כאנת,0
גוהר,0
ואח[ד],0
פכאן,0
גואבהם,0
ומא,0
געלוה,0
קיאסא,0
לקולהם,0
תמת'ילא,0
לדע[וא]הם,0
עלי,0
ג'יר,0
בנייהֿ,0
אלסואל,0
ותאסיסה.,0
